0xff810000
AllocateMemory 0xffa26fec
ExecuteEventProcedure 0xff869180
EnterToCompensationEVF 0xff825f48
ExitFromCompensationEVF 0xff825f98
FreeMemory 0xffa26fe4
GetBatteryTemperature 0xff845214
GetCCDTemperature 0xff8451a4
GetCurrentAvValue 0xff92c420
GetOpticalTemperature 0xff845284
GetSystemTime 0xffa27044
GetZoomLensCurrentPosition 0xffa1d084
kbd_pwr_off 0xff842a88
kbd_pwr_on 0xff842a38
strcpy 0xff81d88c
time 0xff866d48
PT_PlaySound 0xff85b064 11
PostLogicalEventToUI 0xFF872F50 
PostLogicalEventForNotPowerType 0xFF872F04
